case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page
warm,0,1,64272872,18020501,46251951,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,2,64219653,18047011,46172301,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,3,62654416,18343437,44310588,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,4,61471957,18247958,43223689,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,5,60445120,17930302,42514568,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,6,61401735,18016052,43385392,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,7,61502806,17949868,43552677,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,8,60703034,18217901,42484472,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,9,61281220,17863226,43417754,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,10,61568168,18019199,43548699,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,11,60925282,18191262,42733660,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,12,61324901,18014079,43310512,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,1,60562060,17139598,43422211,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,2,61032673,17341778,43690605,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,3,59686868,17098050,42588567,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,4,60055690,17140510,42915020,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,5,60558884,17225149,43333495,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,6,58957961,17031686,41926074,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,7,60039760,17011568,43027832,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,8,59830247,17116845,42713111,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,9,59810329,17186606,42623593,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,10,59731331,17102499,42628672,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,11,59952076,17099614,42852192,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,12,60673459,17256769,43416310,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
cold,0,1,170565074,127770651,42794003,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,2,163880041,122660463,41219168,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,3,166428553,124018300,42409802,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,4,164536693,122537451,41998860,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,5,166329898,124339031,41990505,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,6,164643434,122791929,41851194,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,7,166694511,124427467,42266633,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,8,165091223,122771921,42318891,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,9,166308777,124986306,41322141,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,10,164976858,122924347,42051940,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,11,170867280,129080347,41786512,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,12,164050570,123353352,40696817,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
